Plaats,bib,Naam,Club,Swim,Wis1,Bike,Wis2,Run,Eindtijd
1,1130,Thijs,,08:54,00:45,34:35,00:28,19:00,01:03
2,1215,Josh,,08:16,00:38,36:58,00:29,18:03,01:04
3,1110,Emiel,,08:56,00:49,35:41,00:41,18:48,01:04
4,1011,Rens,,08:15,00:49,37:30,00:39,18:03,01:05
5,1013,Joris,,09:11,00:34,35:12,00:30,20:39,01:06
6,1041,Rene,,09:20,00:50,37:29,00:49,18:43,01:07
7,1079,Rinse,,09:01,00:56,37:39,00:46,20:12,01:08
8,1097,Jos,,09:16,01:00,37:23,00:34,20:33,01:08
9,1032,Michael,,12:51,00:55,35:43,00:42,18:48,01:08
10,1136,Arno,,09:53,01:15,36:24,00:39,21:12,01:09
11,1060,Michael,,08:59,00:36,37:43,00:44,21:21,01:09
12,1109,Mike,,09:38,01:16,38:12,00:40,19:52,01:09
13,1014,Menno,,10:37,00:47,38:03,00:38,20:15,01:10
14,1074,Paul,,09:46,00:44,37:22,00:38,22:00,01:10
15,1128,Oskar,,09:59,00:48,38:18,00:32,21:20,01:10
16,1243,Onno,,12:11,01:21,35:57,00:53,22:21,01:12
17,1085,Jos,,10:25,01:33,36:59,01:23,22:35,01:12
18,1006,Hans,,12:48,01:11,37:57,00:49,20:27,01:13
19,1058,Jacco,,11:50,01:38,39:53,01:31,18:49,01:13
20,1037,Dave,,13:39,01:04,37:16,00:56,20:54,01:13
21,1068,Robin,,11:42,01:23,38:24,01:15,21:45,01:14
22,1111,Koen,,12:02,01:51,37:30,01:48,21:22,01:14
23,1089,Ruud,,11:43,01:50,39:10,01:04,20:53,01:14
24,1040,Joey,,11:05,00:57,40:23,00:49,21:32,01:14
25,1065,Jeroen,,10:47,02:01,39:09,01:08,21:41,01:14
26,1098,Michael,,09:13,00:54,41:31,01:06,22:12,01:14
27,1003,Joost,,12:32,01:49,37:43,01:35,21:19,01:14
28,1059,Tijmen,,11:23,02:25,38:01,01:21,22:08,01:15
29,1064,Jasper,,12:35,01:14,37:46,01:00,23:08,01:15
30,1081,Martijn,,12:41,01:24,39:39,01:22,21:13,01:16
31,1061,Bart,,11:37,01:08,40:53,00:52,21:52,01:16
32,1078,Vincent,,12:47,01:35,39:34,00:50,21:38,01:16
33,1018,Frank,,11:36,02:07,41:07,00:47,20:50,01:16
34,1028,Ruud,,11:04,01:04,41:44,00:51,21:53,01:16
35,1117,Erik,,11:29,01:14,39:16,00:52,23:57,01:16
36,1050,Edward,,09:58,01:01,41:01,00:52,24:02,01:16
37,1048,Sandy,,13:08,01:02,39:35,00:41,22:48,01:17
38,1102,Sander,,12:27,02:03,40:25,00:59,21:33,01:17
39,1093,Pascal,,12:18,02:11,41:24,01:10,20:37,01:17
40,1047,Joost,,11:41,01:46,39:56,01:39,22:42,01:17
41,1035,Onno,,11:58,01:31,39:43,01:12,23:28,01:17
42,1038,Ronald,,11:35,01:43,39:36,01:04,23:59,01:17
43,1016,Ivan,,11:44,01:28,40:30,00:57,23:21,01:17
44,1020,Nico,,11:16,01:30,40:01,01:15,23:59,01:18
45,1049,Robin,,11:11,01:28,41:05,01:14,23:28,01:18
46,1027,Chris,,13:28,02:02,39:55,01:28,21:48,01:18
47,1134,Rens,,13:05,01:46,40:17,01:01,22:44,01:18
48,1083,Frank,,11:46,01:38,41:32,01:04,23:10,01:19
