Triathlon,Naam,Zwem,#Z,Wis1,#W1,Fiets,#F,NaFiets,#NaF,Wis2,#W2,Loop,#L,Totaal,#Tot
Stad van de Zon,Thijs van der Zee,0 days 00:08:54,3,0 days 00:00:45,5,0 days 00:34:35,1,0 days 00:44:14,1,0 days 00:00:28,1,0 days 00:19:00,7,0 days 01:03:40,1
Stad van de Zon,Josh Garrone,0 days 00:08:16,2,0 days 00:00:38,3,0 days 00:36:58,7,0 days 00:45:52,4,0 days 00:00:29,2,0 days 00:18:03,1,0 days 01:04:22,2
Stad van de Zon,Emiel van Tongerlo,0 days 00:08:56,4,0 days 00:00:49,8,0 days 00:35:41,3,0 days 00:45:26,3,0 days 00:00:41,12,0 days 00:18:48,4,0 days 01:04:54,3
Stad van de Zon,Rens van Beek,0 days 00:08:15,1,0 days 00:00:49,8,0 days 00:37:30,13,0 days 00:46:34,5,0 days 00:00:39,9,0 days 00:18:03,1,0 days 01:05:15,4
Stad van de Zon,Joris de Boer,0 days 00:09:11,7,0 days 00:00:34,1,0 days 00:35:12,2,0 days 00:44:57,2,0 days 00:00:30,3,0 days 00:20:39,14,0 days 01:06:04,5
Stad van de Zon,Rene Hoep,0 days 00:09:20,11,0 days 00:00:50,10,0 days 00:37:29,12,0 days 00:47:39,9,0 days 00:00:49,19,0 days 00:18:43,3,0 days 01:07:09,6
Stad van de Zon,Rinse van de Ouweelen,0 days 00:09:01,6,0 days 00:00:56,14,0 days 00:37:39,15,0 days 00:47:36,8,0 days 00:00:46,16,0 days 00:20:12,9,0 days 01:08:32,7
Stad van de Zon,Jos Smit,0 days 00:09:16,9,0 days 00:01:00,16,0 days 00:37:23,11,0 days 00:47:39,9,0 days 00:00:34,5,0 days 00:20:33,12,0 days 01:08:44,8
Stad van de Zon,Michael Emmerik,0 days 00:12:51,77,0 days 00:00:55,13,0 days 00:35:43,4,0 days 00:49:29,16,0 days 00:00:42,14,0 days 00:18:48,4,0 days 01:08:58,9
Stad van de Zon,Arno van Zwieten,0 days 00:09:53,16,0 days 00:01:15,31,0 days 00:36:24,6,0 days 00:47:32,7,0 days 00:00:39,9,0 days 00:21:12,18,0 days 01:09:20,10
Stad van de Zon,Michael Krijnen,0 days 00:08:59,5,0 days 00:00:36,2,0 days 00:37:43,16,0 days 00:47:18,6,0 days 00:00:44,15,0 days 00:21:21,22,0 days 01:09:21,11
Stad van de Zon,Mike Timmerman,0 days 00:09:38,14,0 days 00:01:16,32,0 days 00:38:12,22,0 days 00:49:06,14,0 days 00:00:40,11,0 days 00:19:52,8,0 days 01:09:37,12
Stad van de Zon,Menno Boots,0 days 00:10:37,20,0 days 00:00:47,6,0 days 00:38:03,21,0 days 00:49:27,15,0 days 00:00:38,6,0 days 00:20:15,10,0 days 01:10:18,13
Stad van de Zon,Paul Nieuwenhuizen,0 days 00:09:46,15,0 days 00:00:44,4,0 days 00:37:22,10,0 days 00:47:52,11,0 days 00:00:38,6,0 days 00:22:00,34,0 days 01:10:29,14
Stad van de Zon,Oskar Wit,0 days 00:09:59,18,0 days 00:00:48,7,0 days 00:38:18,23,0 days 00:49:05,13,0 days 00:00:32,4,0 days 00:21:20,21,0 days 01:10:55,15
Stad van de Zon,Onno Timmermans,0 days 00:12:11,53,0 days 00:01:21,35,0 days 00:35:57,5,0 days 00:49:29,16,0 days 00:00:53,27,0 days 00:22:21,37,0 days 01:12:41,16
Stad van de Zon,Jos Pronk,0 days 00:10:25,19,0 days 00:01:33,58,0 days 00:36:59,8,0 days 00:48:57,12,0 days 00:01:23,82,0 days 00:22:35,39,0 days 01:12:51,17
