Plaats,bib,Naam,Swim,Wis1,Bike,Wis2,Run,Eindtijd
1,1130,Thijs van der Zee,8:54,0:45,34:35:00,0:28,19:00,01:03:40
2,1215,Josh Garrone,8:16,0:38,36:58:00,0:29,18:03,01:04:22
3,1110,Emiel van Tongerlo,8:56,0:49,35:41:00,0:41,18:48,01:04:54
4,1011,Rens van Beek,8:15,0:49,37:30:00,0:39,18:03,01:05:15
5,1013,Joris de Boer,9:11,0:34,35:12:00,0:30,20:39,01:06:04
6,1041,Rene Hoep,9:20,0:50,37:29:00,0:49,18:43,01:07:09
7,1079,Rinse van de Ouweelen,9:01,0:56,37:39:00,0:46,20:12,01:08:32
8,1097,Jos Smit,9:16,1:00,37:23:00,0:34,20:33,01:08:44
9,1032,Michael Emmerik,12:51,0:55,35:43:00,0:42,18:48,01:08:58
10,1136,Arno van Zwieten,9:53,1:15,36:24:00,0:39,21:12,01:09:20
11,1060,Michael Krijnen,8:59,0:36,37:43:00,0:44,21:21,01:09:21
12,1109,Mike Timmerman,9:38,1:16,38:12:00,0:40,19:52,01:09:37
13,1014,Menno Boots,10:37,0:47,38:03:00,0:38,20:15,01:10:18
14,1074,Paul Nieuwenhuizen,9:46,0:44,37:22:00,0:38,22:00,01:10:29
15,1128,Oskar Wit,9:59,0:48,38:18:00,0:32,21:20,01:10:55
16,1243,Onno Timmermans,12:11,1:21,35:57:00,0:53,22:21,01:12:41
17,1085,Jos Pronk,10:25,1:33,36:59:00,1:23,22:35,01:12:51
18,1006,Hans Bader,12:48,1:11,37:57:00,0:49,20:27,01:13:10
19,1058,Jacco Koot,11:50,1:38,39:53:00,1:31,18:49,01:13:40
20,1037,Dave de Groot,13:39,1:04,37:16:00,0:56,20:54,01:13:47
21,1068,Robin Marees,11:42,1:23,38:24:00,1:15,21:45,01:14:28
22,1111,Koen Van Wieringen,12:02,1:51,37:30:00,1:48,21:22,01:14:32
23,1089,Ruud Roemersma,11:43,1:50,39:10:00,1:04,20:53,01:14:39
24,1040,Joey Hidding,11:05,0:57,40:23:00,0:49,21:32,01:14:44
25,1065,Jeroen Langenberg,10:47,2:01,39:09:00,1:08,21:41,01:14:45
26,1098,Michael Smit,9:13,0:54,41:31:00,1:06,22:12,01:14:55
27,1003,Joost Baalbergen,12:32,1:49,37:43:00,1:35,21:19,01:14:57
28,1059,Tijmen Kraaijeveld,11:23,2:25,38:01:00,1:21,22:08,01:15:17
29,1064,Jasper van Langen,12:35,1:14,37:46:00,1:00,23:08,01:15:41
30,1081,Martijn ploeger,12:41,1:24,39:39:00,1:22,21:13,01:16:19
31,1061,Bart Kuilboer,11:37,1:08,40:53:00,0:52,21:52,01:16:20
32,1078,Vincent Oudt,12:47,1:35,39:34:00,0:50,21:38,01:16:22
33,1018,Frank Brink,11:36,2:07,41:07:00,0:47,20:50,01:16:26
